DATE,MELIPRMSA19100
2017-08-01,357000.0
2017-09-01,350000.0
2017-10-01,350472.5
2017-11-01,350000.0
2017-12-01,349990.0
2018-01-01,354950.0
2018-02-01,369450.0
2018-03-01,374279.0
2018-04-01,378710.25
2018-05-01,384950.0
2018-06-01,374900.0
2018-07-01,366000.0
2018-08-01,350000.0
2018-09-01,347124.0
2018-10-01,345000.0
2018-11-01,344900.0
2018-12-01,339990.0
2019-01-01,339945.0
2019-02-01,347450.0
2019-03-01,353714.2857
2019-04-01,360000.0
2019-05-01,364440.0
2019-06-01,359085.0
2019-07-01,355098.25
2019-08-01,347924.0909
2019-09-01,344825.2273
2019-10-01,344001.8182
2019-11-01,342900.0
2019-12-01,337495.0
2020-01-01,336000.0
2020-02-01,340000.0
2020-03-01,329221.0
2020-04-01,339996.0
2020-05-01,350000.0
2020-06-01,359000.0
2020-07-01,360000.0
2020-08-01,360000.0
2020-09-01,361500.0
2020-10-01,359000.0
2020-11-01,361450.0
2020-12-01,357429.5
2021-01-01,350000.0
2021-02-01,359450.0
2021-03-01,363997.5
2021-04-01,375000.0
2021-05-01,380000.0
2021-06-01,389900.0
2021-07-01,395600.0
2021-08-01,399000.0
2021-09-01,398431.25
2021-10-01,399000.0
2021-11-01,400000.0
2021-12-01,400000.0
2022-01-01,401988.0
2022-02-01,412000.0
2022-03-01,425000.0
2022-04-01,441320.0
2022-05-01,475500.0
2022-06-01,490232.75
2022-07-01,480000.0
2022-08-01,462500.0
2022-09-01,453950.0
2022-10-01,449999.0
2022-11-01,447500.0
2022-12-01,438958.5
2023-01-01,432500.0
2023-02-01,435000.0
2023-03-01,441999.5
2023-04-01,459900.0
2023-05-01,468995.0
2023-06-01,472912.0
